ID,timeslice,Material,Material_x,Sample_Type,Reference,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,O_sd,C_sd,d18_scaled
TL2,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.62501667,-119.39525,NaN,4.699999999999999,NaN,NaN,10.5,NaN,NaN,NaN,0.141421356237309,NaN,1.609
TL3,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.73733333,-120.6807333,NaN,9.7,NaN,NaN,11.35,NaN,NaN,NaN,0.49497474683058273,NaN,2.4589999999999996
TL4,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.80385,-119.3942167,NaN,11,NaN,NaN,12.100000000000001,NaN,NaN,NaN,0.4242640687119283,NaN,3.2090000000000014
TL5,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.80581667,-120.6521167,NaN,13.5,NaN,NaN,12.45,NaN,NaN,NaN,0.0707106781186545,NaN,3.5589999999999993
TL6,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.9529,-119.6632,NaN,15,NaN,NaN,12.6,NaN,NaN,NaN,NaN,NaN,3.7089999999999996
TL7,NA,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.9789,-120.2589667,NaN,15.6,NaN,NaN,13.4,NaN,NaN,NaN,NaN,NaN,4.509
TL8,post-OHT,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.9822,-119.22985,NaN,15,NaN,NaN,13.1,NaN,NaN,NaN,NaN,NaN,4.209
TL9,NA,smectite,clay,Altered ash,Takeuchi and Larson 2005,NA,West,46.98335,-120.2649167,NaN,15.6,NaN,NaN,13,NaN,NaN,NaN,NaN,NaN,4.109
VIRGIN,NA,smectite,clay,Altered ash,Horton et al 2004,NA,West,41.844,-119.0105,NaN,16,NaN,NaN,11.4,NaN,-107,-16.96,NaN,NaN,2.5090000000000003
WILLOW,NA,smectite,clay,Altered ash,Horton et al 2004,NA,West,41.709,-118.6088,NaN,15.425,NaN,NaN,10.85,NaN,-117.25,-17.51,0.9255628917943212,NaN,1.9589999999999996
BK,pre-OHT,smectite,clay,Altered ash,this study,NA,Central,45.10995,-113.73724,23.4,30,28,34,8.435,NaN,NaN,NaN,0.7424621202458754,NaN,-0.5549999999999997
BK,pre-OHT,smectite,clay,Paleosol,this study,NA,Central,45.10995,-113.73724,11.15,30,28,34,9.441666666666666,NaN,NaN,NaN,0.6001472041646676,NaN,0.4516666666666662
IBABAD,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,Central,40.1104,-114.0757,NaN,11.1325,NaN,NaN,13.4975,NaN,-126.025,NaN,2.0788197773416206,NaN,4.5075
IBABAD1,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,Central,40.1288,-114.1725,NaN,12.4025,NaN,NaN,12.35375,NaN,-122.35,NaN,2.096929302575554,NaN,3.3637499999999996
MC#2,pre-OHT,smectite,clay,Altered ash,this study,NA,Central,44.66952,-112.83551,10,36,35,45,9.14,NaN,NaN,NaN,NaN,NaN,0.15000000000000036
MC#2,pre-OHT,smectite,clay,Paleosol,this study,NA,Central,44.66952,-112.83551,11,36,35,45,7.970000000000001,NaN,NaN,NaN,0.3818376618407357,NaN,-1.0199999999999996
OREANA,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,43.0545,-116.3946,NaN,3.3,NaN,NaN,14.3,NaN,-112,-13.04,2.1213203435596424,NaN,5.3100000000000005
PINON,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,40.557,-116.0187,NaN,10.77,NaN,NaN,11.76,NaN,-113,-15.854,0.8677557259966654,NaN,2.7699999999999996
PINON,NA,smectite,clay,Altered ash,Horton et al 2004,NA,Central,40.557,-116.0187,NaN,15.25,NaN,NaN,11.7,NaN,-107,-15.21,NaN,NaN,2.709999999999999
RASH,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,40.3614,-112.4539,NaN,7.696666666666667,NaN,NaN,12.133333333333333,NaN,-115.33333333333333,-15.136666666666667,1.250333288900737,NaN,3.1433333333333326
SJ_L,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,Central,44.8542,-110.1567,NaN,49,NaN,NaN,9.05,NaN,NaN,NaN,0.494974746830584,NaN,0.0600000000000005
SJ_M,pre-OHT,smectite,clay,Altered ash,Sjostrom et al 2006,NA,Central,44.8655,-111.0488,NaN,49,NaN,NaN,9.799999999999999,NaN,NaN,NaN,0.4546060565661953,NaN,0.8099999999999987
TRAPPER,post-OHT,smectite,clay,Altered ash,Horton et al 2004,NA,Central,42.125,-114,NaN,12.154375,NaN,NaN,11.65,NaN,-122.6,-15.7925,1.7324356649911514,NaN,2.66
WCK,pre-OHT,smectite,clay,Altered ash,this study,NA,Central,45.11897,-113.69539,56.5,30,28,34,9.585,NaN,NaN,NaN,1.8060361753482863,NaN,0.5950000000000006
WCK,pre-OHT,smectite,clay,Paleosol,this study,NA,Central,45.11897,-113.69539,23.666666666666668,30,28,34,9.742222222222223,NaN,NaN,NaN,1.3424024897341498,NaN,0.7522222222222226
GCB,pre-OHT,smectite,clay,Altered ash,this study,NA,East,42.86354,-103.57693,13.966666666666667,34.63666666666667,33,36,17.383333333333333,NaN,NaN,NaN,0.19425069712444554,NaN,-0.15963114768086495
HMNE10,post-OHT,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,41.4564,-106.0534,NaN,8.5,NaN,NaN,19.58,NaN,-113.76,NaN,NaN,NaN,4.222858264685084
HMNE11,NA,smectite,clay,Altered ash,Mix and Chamberlain 2014,NA,East,42.1965,-103.7873,NaN,16.25,NaN,NaN,20.485,NaN,-107.53999999999999,NaN,0.27577164466275395,NaN,3.1277157537605946
