ID,Number,Material,Material_x,Sample_Type,Reference,Notes,West_Subdomain,Domain,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,d18Oprecip,timeslice
CRBIN_W,HW7406,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,45.7625,-120.02688,NaN,11.5,10.5,12.5,16.49,NaN,NaN,NaN,post-OHT
CRBIN_W,HW7407,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,45.7625,-120.02688,NaN,11.5,10.5,12.5,16.73,NaN,NaN,NaN,post-OHT
CRBIN_W,LEX-1-1,smectite,clay,Altered ash,Takeuchi 2007 dissertation,west,west,West,45.45592,-119.71042,NaN,15.5,15.3,15.7,15.5,NaN,NaN,NaN,NA
DELLKM,KM106,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,47.4,40,NaN,NaN,15.258000000000001,-4.194,NaN,NaN,pre-OHT
DELLKM,KM120,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,10.7,40,NaN,NaN,17.92,-3.75,NaN,NaN,pre-OHT
DELLKM,KM121,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,12.8,40,NaN,NaN,18.753333333333334,-3.2266666666666666,NaN,NaN,pre-OHT
DELLKM,KM123,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,14.4,40,NaN,NaN,12.3575,-3.295,NaN,NaN,pre-OHT
DELLKM,KM125,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,15,40,NaN,NaN,12.58,-2.35,NaN,NaN,pre-OHT
DELLKM,KM127,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,17.1,40,NaN,NaN,12.48,-2.8866666666666667,NaN,NaN,pre-OHT
DELLKM,KM128,calcite,carbonate,Paleosol Carbonate,"Methner et al, MECO 2016",Age constraints ~40-46Ma; Methner U/Pb dates closer to 40Ma,NA,Central,44.75221667,-112.5799667,21,40,NaN,NaN,12.76,-2.4299999999999997,NaN,NaN,pre-OHT
