ID,Number,Sample,Latitude,Longitude,Height_m,Age_ma,T_age_Ma,B_age_Ma,d18O_smow,d13C,dD,Sample_Type,Material,Reference,dDprecip,d18Oprecip,Notes,More_notes,Other_data_type,Other_data_value,Event,Published_interpretation,Previously_published,West_Subdomain,Material_x,Domain,Filtered,Filtered_reason
JCR_FR,27,NA,42.64253,-106.76111,67.5,35.759375,NA,NA,17.6318792,-6.8,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,28,NA,42.64253,-106.76111,69.5,35.748125,NA,NA,16.7556057,-7.01,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,29,NA,42.64253,-106.76111,70.5,35.7425,NA,NA,17.6318792,-6.96,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,30,NA,42.64253,-106.76111,71.5,35.736875,NA,NA,16.064896,-6.36,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,33,NA,42.64253,-106.76111,73.5,35.725625,NA,NA,15.5288228,-6.21,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,34,NA,42.64253,-106.76111,76.5,35.71669903,NA,NA,17.301988,-9.72,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
JCR_FR,35,NA,42.64253,-106.76111,78.5,35.71339806,NA,NA,17.5390973,-6.88,NA,Paleosol Carbonate,calcite,this study,NA,NA,Laterally Extensive Concretion,heights adapted to reflect distance from base,NA,NA,NA,NA,N,NA,carbonate,East,N,NA
TCM12,TCM37,ID-TC 03-07,42.1888,-112.1402,NA,9.6,NA,NA,14.05,-3.21,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM47,ID-TC 04-07,42.1888,-112.1402,NA,8.8,NA,NA,14.46,-3.44,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
TCM12,TCM57,ID-TC 05-07,42.1888,-112.1402,NA,8.3,NA,NA,11.9,-4.84,NA,Fluvial Cement,calcite,Chamberlain et al 2012,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,carbonate,Central,N,NA
